Date;Temperature;Weather;Wind direction;Wind speed;Humidity
Dec 21 16:20;3C;few clouds;S;20;85%
Dec 21 15:50;3C;few clouds;SW;15;85%
Dec 21 15:20;3C;cloudy;SW;22;85%
Dec 21 14:50;3C;cloudy;SW;26;85%
Dec 21 14:20;3C;overcast;SW;22;95%
Dec 21 13:50;3C;cloudy haze;SW;20;85%
Dec 21 13:20;2C;overcast haze;SW;22;95%
Dec 21 12:50;2C;overcast haze;SW;24;95%
Dec 21 12:20;2C;overcast haze;SW;26;95%
Dec 21 11:50;2C;overcast;SW;24;85%
Dec 21 11:20;2C;overcast;SW;30;85%
Dec 21 10:50;2C;overcast;SW;24;85%
Dec 21 10:20;2C;cloudy;S;22;80%
Dec 21 09:50;1C;overcast;SW;22;85%
Dec 21 09:20;1C;overcast;SW;19;85%
Dec 21 08:50;1C;overcast;SW;20;85%
Dec 21 08:20;1C;overcast;SW;19;85%
Dec 21 07:50;1C;overcast;SW;19;85%
Dec 21 07:20;1C;overcast;SW;22;85%
Dec 21 07:00;0C;overcast;SW;22;87%
Dec 21 06:50;1C;overcast;SW;20;85%
Dec 21 06:20;1C;cloudy;SW;22;85%
Dec 21 05:50;1C;cloudy;SW;22;85%
Dec 21 05:20;2C;cloudy;S;22;80%
Dec 21 04:50;2C;cloudy;S;26;85%
Dec 21 04:20;2C;cloudy;S;22;85%
Dec 21 03:50;2C;cloudy;S;26;85%
Dec 21 03:20;2C;cloudy;S;22;85%
Dec 21 02:50;2C;cloudy;S;28;85%
Dec 21 00:50;3C;cloudy;S;35;95%
Dec 21 00:20;4C;cloudy;SE;33;85%
Dec 20 23:50;3C;cloudy;SE;30;95%
Dec 20 23:20;3C;cloudy;SE;33;95%
Dec 20 22:50;3C;overcast;SE;33;95%
Dec 20 22:20;3C;overcast;SE;30;95%
Dec 20 22:00;3C;cloudy;SE;22;91%
Dec 20 21:50;3C;overcast;SE;22;95%
Dec 20 21:20;3C;overcast;SE;24;95%
Dec 20 20:50;3C;overcast;SE;24;95%
Dec 20 20:20;3C;overcast;SE;20;95%
Dec 20 19:50;3C;overcast;SE;22;95%
Dec 20 19:20;3C;overcast;SE;22;85%
Dec 20 18:50;3C;overcast;SE;20;85%
Dec 20 18:20;3C;overcast;SE;19;85%
Dec 20 17:50;3C;overcast;SE;19;85%
Dec 20 17:20;3C;overcast;SE;17;85%
Dec 20 16:50;3C;overcast;SE;17;85%
Dec 20 16:20;3C;overcast;S;13;85%
Dec 20 15:50;3C;overcast;S;15;85%
Dec 20 15:20;3C;overcast;S;13;95%
Dec 20 14:50;3C;overcast;S;15;85%
Dec 20 14:20;3C;overcast;S;15;85%
Dec 20 13:50;3C;overcast;S;11;95%
Dec 20 13:20;4C;overcast;S;13;85%
Dec 20 12:50;4C;overcast;S;15;85%
Dec 20 12:20;4C;overcast;S;13;80%
Dec 20 12:00;4C;overcast;S;13;85%
Dec 20 11:50;4C;overcast;S;13;85%
Dec 20 11:20;4C;overcast;S;9;85%
Dec 20 10:50;4C;overcast;SW;9;85%
Dec 20 10:20;4C;overcast;SW;7;85%
Dec 20 09:50;4C;overcast;SW;9;85%
Dec 20 09:20;4C;overcast;SW;9;80%
Dec 20 08:50;3C;overcast;SW;6;85%
Dec 20 08:20;3C;overcast;SW;7;85%
Dec 20 07:50;3C;overcast;S;11;95%
Dec 20 07:20;3C;overcast;S;9;85%
Dec 20 06:50;3C;overcast;SW;4;85%
Dec 20 06:20;4C;overcast;SW;6;80%
Dec 20 05:50;4C;overcast;W;7;80%
Dec 20 05:20;4C;overcast;W;6;80%
Dec 20 04:50;3C;overcast;SW;6;95%
Dec 20 04:20;3C;overcast;W;9;95%
Dec 20 03:50;4C;overcast;SW;11;85%
Dec 20 03:20;3C;overcast;SW;2;85%
Dec 20 02:50;4C;overcast;W;4;85%
Dec 20 00:50;4C;overcast;W;7;85%
Dec 20 00:20;3C;overcast;W;6;95%
Dec 19 23:50;3C;overcast;W;7;85%
Dec 19 23:20;3C;overcast;W;9;85%
Dec 19 22:50;3C;overcast;W;7;85%
Dec 19 22:20;4C;overcast;W;7;85%
Dec 19 21:50;4C;overcast;W;11;85%
Dec 19 21:20;4C;overcast;W;15;85%
Dec 19 20:50;4C;overcast;W;11;85%
Dec 19 20:20;4C;overcast;SW;13;85%
Dec 19 19:50;4C;overcast;SW;11;85%
Dec 19 19:20;4C;overcast;SW;9;85%
Dec 19 18:50;4C;overcast;SW;7;85%
Dec 19 18:20;4C;overcast;W;6;85%
Dec 19 17:50;4C;overcast;W;11;85%
Dec 19 17:20;4C;overcast;W;13;85%
Dec 19 16:50;4C;overcast;W;11;85%
Dec 19 16:20;4C;overcast;W;11;85%
Dec 19 15:50;4C;overcast;W;11;95%
Dec 19 15:20;4C;overcast;SW;9;95%
Dec 19 14:50;4C;overcast;SW;11;95%
Dec 19 14:20;4C;overcast;W;11;95%
Dec 19 13:50;4C;overcast;W;11;95%
Dec 19 13:20;4C;overcast;W;11;95%
Dec 19 12:50;4C;overcast;W;13;95%
Dec 19 12:20;4C;overcast;W;13;85%
Dec 19 11:50;4C;overcast;W;11;95%
Dec 19 11:20;4C;overcast;W;15;85%
Dec 19 10:50;3C;overcast;W;13;95%
Dec 19 10:20;4C;overcast;SW;13;95%
Dec 19 10:00;3C;overcast;W;13;91%
Dec 19 09:50;4C;overcast;SW;11;95%
Dec 19 09:20;4C;overcast;W;7;95%
Dec 19 08:50;4C;overcast;W;9;85%
Dec 19 08:20;4C;overcast;W;7;85%
Dec 19 07:50;4C;overcast;W;13;85%
Dec 19 07:20;4C;overcast;W;11;95%
Dec 19 06:50;4C;overcast;W;13;85%
Dec 19 06:20;4C;overcast;W;17;85%
Dec 19 05:50;4C;overcast;W;13;85%
Dec 19 05:20;4C;overcast;W;15;95%
Dec 19 04:50;4C;overcast;W;17;95%
Dec 19 04:00;4C;overcast;W;15;89%
Dec 19 03:50;4C;overcast;W;15;95%
Dec 19 03:20;4C;overcast;W;17;95%
